scenario,mean_p_cvd,ci_low,ci_high,delta_vs_baseline
Baseline,0.4986798791197518,0.4841144178064757,0.5124343363409735,0.0
do(smoke=1),0.5205606835030312,0.5032434569897201,0.5388492356377109,0.021880804383279384
do(smoke=0),0.4960345742059027,0.48096816183519847,0.5112036893042773,-0.0026453049138491225
do(active=1),0.49821534836432807,0.4841683009205025,0.5150706877002381,-0.0004645307554237421
do(active=0),0.49834137381589233,0.48432733062321776,0.5141869277871108,-0.0003385053038594821
do(BMI = −1 SD),0.4282057937524076,0.4143444742777991,0.44333347142787677,-0.07047408536734423
do(BMI = +1 SD),0.569801632884379,0.5544859592913363,0.5860812230383655,0.0711217537646272
